	T5161	T54	T55	T64	T65	T74	T75	T84	T85
K09807	-0.156851702383148	0.0424794394694675	-0.000994854854773373	0.17160814712161	-0.166042600956024	-0.0197237507181479	-0.143623651689219	-0.0644092601253118	0.0727110195863015
K09808	-0.499615127008486	-0.126672248102922	-0.0384382057186524	0.797732300688958	-0.765990080621588	-0.244844312369755	-0.561196784101714	0.195270736174771	0.0964844736274803
K09809	-0.955897067414987	0.12633206359622	0.0103190917412131	0.169492890888125	-0.0925473303693384	-0.0260810890731765	-0.235996431938107	0.0956995374414498	0.180530902089106
K09810	-0.375189444822334	-0.144087500065559	0.149545124114449	0.148848817853744	0.00115125872917558	-0.149765518905907	0.298038449047679	0.00214352627610963	-0.143807903382034
K09811	-0.278081244459415	-0.0909090909090909	0	0	0.0909090909090909	0	0	-0.0909090909090909	0
K09812	0.0138184630404591	-0.0447139178481523	0.120175281353397	0.289804264494507	-0.0531784091564687	-0.0531784091564687	-0.113084143898735	0.0754613635052439	-0.048732081840019
K09815	0.0898640328329246	0.131236968315965	-0.0531784091564687	-0.025230361411719	0.0531784091564687	-0.188801417913712	-0.0909090909090909	0.0616429004647853	-0.148186399113608
K09816	-0.146970123677136	0.0464291679394684	0.034410147568521	0.0163127523774454	-0.0770906278686319	-0.0824445996007743	-0.0531784091564687	0.0323767100204795	0.0616429004647853
K09817	-0.0770906278686319	-0.018139223957058	0.0209648116492197	0.138505632368819	-0.128461452995051	-0.0393599461160097	-0.173353690509865	-0.176301097572809	-0.197265909222028
K09818	-0.335157108802366	0.302287636826332	-0.0758773287747316	0.335752261586755	0.0579738309666702	0.304229212007807	-0.00297537048653237	-0.0785562367222471	0.405792509899867
K09819	-0.984903764530112	-0.144087500065559	-0.063327986959097	0.0880150500417371	1.17881236113471	0.126677284819478	0.460807586788233	-0.309508704777927	-0.104746671228882
K09820	0.340701545741617	0.200327155651129	0.118484154260633	-0.186101407790809	0.326922694553447	0.434077796681494	0.360961627655377	-0.170632339971718	0.291150466199487
K09824	-0.14408750006556	-0.14408750006556	-0.14408750006556	-0.14408750006556	0	0	-0.14408750006556	-0.14408750006556	-0.14408750006556
K09825	-0.30157716656372	0.716164521321506	0.14408750006556	0.890438248242283	-0.14408750006556	0	0	-0.14408750006556	-0.14408750006556
K09857	-0.14782273623974	0.0240670163698905	0.00947219512246924	0.0738494656097734	-0.0915585185797993	-0.02160221202519	-0.129831975318365	-0.0474615513333926	0.0789568520053269
K09858	0	-0.0909090909090909	0	0	0.0909090909090909	0	0	-0.0909090909090909	0
K09861	-1.48352089683917	-0.0421601707658213	0.74934808432869	-0.149328321012451	-0.132800280167348	-1.06507810641902	-1.04255873037957	-0.223521390114954	9.55809729917092
K09862	0.355171872328047	0	0	0	0	0	0	0	0
K09888	-0.14408750006556	-0.144087500065559	0.0100385445176046	0	-0.0127209328313159	-0.144087500065559	-0.144087500065559	-0.144087500065559	0.0143033216134628
K09889	0.111646741833235	-0.144087500065559	0.144834765641679	0.141747281056322	0.143998521707584	-0.000621764225756943	0.291861007078014	-0.145730942177091	-0.141608232913505
K09890	-0.99020385244985	-0.085762230594549	0.446730915852048	0.233419205458414	0.583159372866122	-0.0828463602268442	-0.778439636705151	0.403705072711932	0.110010640401569
K09891	-0.692068869258206	-0.519657392832062	0.41348377266559	2.03568581658706	0.619196056787583	1.27349761840232	0.242944098306975	-0.862170992185369	0.132750285760015
K09892	0.611452762224343	-0.144087500065559	0.309471161328401	0.00182644888361432	0.861200320650639	0.00304950722284661	0.316887189280928	-0.153469050465835	0.000468271245315838
K09893	0.75112585487533	-0.0328177297545764	0.363574959845515	1.71806905489298	0.323915447207557	-0.504897012427179	-0.0580838388100091	-0.580787599157902	0.175735147749043
K09894	0.961640341261184	-0.245738192769279	0.144560608108975	1.14475476582955	0.512997594771423	0.0292576924292597	0.0154213777293444	-0.289363209561563	0.0600390090928006
K09895	0.71804819317292	-0.207198220617856	0.201729772368592	1.47907294163086	0.231806059694396	-0.0832498259486651	0.818313762533209	4.11120780624988	0.366559031521187
K09896	1.19407277121166	-0.0891961262254058	0.154837512138287	-0.123600432779871	0.230083462197099	-0.488313696596645	0.0395685335070239	-0.482904055767306	0.164772219203129
K09897	0.51082775680242	-0.47715551188032	0.366964130749095	0.41985122510371	0.0317373269092845	-0.497061007065066	0.202272726750935	-1.80230887613712	-0.0380194522634271
K09898	0.865440470260319	-0.283163583224004	0.13981028933527	1.59953135897665	0.605940630487332	0.165454065003302	0.203724685461984	-5.01893864413865	0.0691552225830799
K09899	-0.166504249127657	-0.382438512632098	0.389770987236704	3.1412523249212	0.667420645567338	0.69627988422165	0.123673873636047	-0.343746152769643	0.0416220798706868
K09900	-0.0695860442732032	0.271157752056923	-0.0454581986964632	0.19178269539077	-0.0378144360256191	0.143244992882149	-0.0503893278325052	0.0216897893434652	0.213891328337059
K09901	-0.919796834774316	-0.198734294723949	0.0076844798943502	1.99903886331263	0.139375240188475	-0.154532775845838	0.255850763342493	-0.432790475691787	0.170836075315675
K09902	-2.59636950543712	-0.30154999088811	-0.387340610372123	-0.813359006708131	0.414456450283916	-0.0281213938098491	0.331300432276862	0.321863541522447	-0.336624334259836
K09903	0.144810838595409	0.00224365647575117	0.0953983524551835	0.392401803052728	-0.288703995264241	0.376897317858433	0.0487044058829022	-0.192687770345506	-0.0472135033413942
K09904	0.833700585764719	-0.0868185904373358	0.302848025636966	1.33110082920468	0.187839669699853	-0.296031156206007	-0.242580745399139	-0.22905850112544	0.179530944471733
K09906	1.04142880599841	-0.835651862524724	0.194871888792523	2.34042510446743	0.374324312735864	0.120531539161588	0.0494139136874145	-0.536767762928537	-0.0730669282949104
K09907	-1.69477279062141	0.78076596862458	0.135760985045415	1.26876516485909	0.122098788434511	0.136956937091522	0.259900780759978	0.306688209397613	0.144862377470016
K09908	-0.288572008121265	0.170188500039032	-0.00426107603995069	0.428285635594983	0.189981893239965	-0.178163219417737	0.292156129037144	0.0946474698329286	0.0944898938080253
K09909	-0.373084961593941	0.190565537130957	0.0941662644657048	0.427803000730586	0.226222234999965	0.0755917339760111	0.282542915192833	-0.127347794058459	0.0513967096866249
K09910	-2.45545635625786	-0.463210669333416	-0.424827957248162	2.51827821452481	0.346869530823266	0.153480677097144	0.416898506923923	0.295818002130712	0.135811672738383
K09911	-1.91817200801044	0.00797869609538344	0.450759579738579	1.16559358104622	0.578891326097075	0.0155925050560855	0.158212883474334	-0.494697019752084	0.1945912653869
K09917	0.609966716730672	-0.150666556731526	0.0271601918462106	-0.144087500065559	0.258122135841865	-0.14408750006556	0.00195547533501057	-0.14408750006556	-0.144087500065559
K09921	-2.52285335336835	0.484816221027	-0.452842451330593	-0.55610936874937	0.154099107928066	0.5723304810262	0.274671534436707	0.759344785663125	0.456226952351237
K09923	0.0741660566553131	-0.520496326146147	-0.178672011673822	0.244852426425011	0.24973663802816	-0.361776729491553	-0.138192029505783	-0.207984131288835	0.0501077283906616
