	T5161	T54	T55	T64	T65	T74	T75	T84	T85
K00030	-0.141645610003683	-1.36620380789887	-0.995548982120411	-1.76993219100503	-0.71223877807944	-0.202207608110279	-0.231088846018502	-0.458059540756012	0.138988071383121
K00031	0.121980579755302	0.196941084540373	-0.0415424114660535	0.27303989103499	-0.0950991615527282	0.236195493560177	0.111388888147952	0.359136832544405	0.0342530086398444
K00033	-0.0954209788840548	0.196657304442573	0.202619880954171	0.141140093002616	0.157905963106019	-0.131800265221775	-0.0461951730609387	-0.14408750006556	-0.00846449130831656
K00036	0	0	0.288175000131119	1.10639292517507	0.528719721414638	-0.00937213572400934	0	-0.14408750006556	0
K00046	-0.0328079402902139	0.197827352530134	0.174490585735057	-0.133784578902057	-0.0415501205672241	-0.0463069930495656	-0.00790796987466503	-0.168517187642776	-0.000992926093714304
K00048	0.000442639956521485	0.144087500065559	0.144087500065559	0.144087500065559	0.14408750006556	0.144087500065559	0.14408750006556	-0.00736333560416598	-0.14408750006556
K00050	-0.0782116840771443	-0.0136043203073361	-0.0427775519565986	-0.217097704516192	-0.10100634678371	-0.0592448777712652	-0.0532828692531175	-0.0821266650710277	0.00789642813883356
K00051	-0.0824178580175182	-0.178471575852934	-0.0877044684379045	0.14408750006556	0.0607170192206506	-0.0662955117307459	-0.299531964849376	0.249972060462928	-0.115427103283164
K00052	-0.0292661904443056	-0.106356818312937	-0.0456818491390168	-0.247077888292591	-0.10472755394955	-0.0622271067520064	-0.0531784091564687	-0.0531784091564689	0.00288262361157621
K00053	0	-0.0669968721969278	0.14408750006556	0	0.14408750006556	0	0	0	0
K00054	0.00664213292633856	-0.234996590974651	-0.213226960547797	-0.488892532098513	-0.266670813538347	-0.197265909222028	-0.258908809686814	-0.130269037025101	-0.1732118256019
K00057	-0.259312982871467	-0.449257539598412	-0.0992766807367244	-0.905422377618041	-0.499666317401933	-0.0785105362570801	-0.281338059750285	-0.657298798514695	-0.0695682628152625
K00058	-0.404437792108011	-0.576350000262239	-0.499259372393607	-0.787434372524726	-0.211084372262487	0	-0.14408750006556	-0.0554865024196766	0.14408750006556
K00059	-0.26395611269603	-0.322210956020346	-0.117768716684197	-0.197212387860491	-0.0925383552724784	-0.0824445996007743	-0.14408750006556	-0.131587179724657	0.0136872433250347
K00060	-0.140968185915452	-0.609205658871407	1.89042102360363	-0.114344649442256	0.557171857884294	-0.727311644865041	-0.180000862046538	-0.205401836664379	-0.247902491070973
K00065	-0.0140078875818559	0.0302851119995418	-0.0203092771915188	-0.487606260523726	-0.0823584562889576	-0.0147842501744538	-0.000550337430777148	-0.191319489731822	-0.00736493078479389
K00067	-0.14408750006556	0	0	-0.170406283446922	0	-0.14408750006556	-0.14408750006556	-0.14408750006556	0
K00068	0.584713253360491	0.211084372262487	0.14408750006556	0.355171872328047	0.14408750006556	0.14408750006556	4.50772386370192	0.14408750006556	0.308392492979887
K00074	-0.0774211119121133	-0.00347963250428924	-0.0419526638106036	-0.217809481288109	-0.103321742440661	-0.0623954196276954	-0.0528923348486698	-0.0870282008429677	0.00502754173080498
K00075	-0.000129059669856314	-0.222426813188034	-0.247496911315554	-0.599217160898235	-0.643765895482129	-0.0377306817526222	0	0.0669968721969278	-0.14408750006556
K00076	-0.164181278596324	-0.475479679351545	-0.11323516052067	-0.105732043445494	-0.434051481379545	-0.277942140276174	-0.10999659542522	0.182634359069835	0.131971183239837
K00077	-0.0079137743460145	-0.234213436344352	-0.200361431727907	-0.00712318255691713	-0.0611392142190019	-0.0428510386048321	-0.0299282934388604	-0.175627341984902	-0.0395949979836523
K00088	-0.0478244374243261	-0.0187682615879479	-0.0686261365603155	-0.180102931726866	-0.0930076011920946	-0.120370596496904	-0.0770906278686319	-0.0544965518560246	-0.014696125950792
K00091	0.0172252544421556	0.726351065593642	0.253582060550935	1.57675692264088	2.51722390971016	0.0338030000648794	0.345725735397065	0.110765774466682	0.340741206019894
