	glogfc
K00257	-0.0238835059264265
K00259	-0.14408750006556
K00260	0
K00261	-0.0218961135967471
K00262	-0.09331565557829
K00266	-0.144087500065559
K00274	-0.0226739431638973
K00278	0.384403877221679
K00281	-0.0647485812801495
K00282	-0.187397637171569
K00283	-0.217832510163348
K00285	-0.0195497489645976
K00286	-0.0138184630404573
K00287	-0.446850197668792
K00290	-0.581619093132515
K00294	-0.0569316273684493
K00297	-0.45708430462132
K00303	0.148248606185619
K00311	0.32906340759157
K00313	-0.202144824466758
K00318	-0.122115788792914
K00324	1.27812783567067
K00325	0.437211330499865
K00330	0.327602780971072
K00331	0.190612786803485
K00332	0.0069953172024497
K00333	0.450830526486762
K00334	0.426864004880066
K00335	1.01318691532273
K00336	0.144087500065559
K00337	0.322428824296811
K00338	0.232284579667395
K00339	0.304295289535489
K00340	0.19948923256352
K00341	0.302200366634667
K00342	0.32662734273696
K00343	-0.0147225981258475
K00344	0.236072518108794
K00346	-0.245539351174677
K00347	-0.174066512791493
K00348	-0.128551125078327
K00349	-0.133807346644056
K00350	-0.123899988722152
K00351	-0.171923655194552
K00355	0.117768716684197
K00356	-0.0659615932849291
K00362	-0.14408750006556
K00363	-0.153132593963444
K00364	0.0770906278686319
K00366	0.242812897760027
K00368	0
K00370	-0.0680036492259284
K00371	0
K00373	1.38803997115634
K00374	1.19646655533834
K00375	-0.0672652950213562
K00376	-0.0667422292908106
K00380	-0.024813294748016
K00381	0
K00382	0.268616055849243
K00383	0
K00384	-0.282599166530427
K00385	-0.345671348457949
K00390	-0.0665931058290038
K00394	-0.536287392805055
K00395	-0.695841217034445
K00404	0.321330723893316
K00405	0.395635787600686
K00406	-0.0664858380554882
K00411	0.161312754507714
K00412	0.15786113176235
K00413	0.278185150799201
K00425	0.440730098014295
K00426	-0.000971843477314332
K00428	-0.0210066032659032
K00432	-0.14408750006556
K00446	-0.0422946767660096
K00459	0.117119437662015
K00483	0.00854662154798224
K00484	-0.0668716230330081
K00510	0.840724606551203
K00517	0.440914397677542
K00520	-0.188217211626491
K00523	-0.0643981057703587
K00526	-0.312307831333695
K00528	-0.0158864891969634
K00537	-0.288175000131119
K00547	0.759640542667103
K00548	-0.0819241080247292
K00549	0.0441297115609311
K00554	-0.738100769806073
K00555	-0.0690623336969358
K00556	-0.0841157547650937
K00557	0
K00558	-0.14408750006556
K00560	-0.0669968721969278
K00561	-0.261856216749757
K00563	-0.211084372262487
K00564	0
K00566	-1.25307090390713
K00567	0.0669968721969278
K00568	-0.0654006040298072
K00571	-0.188217211626491
K00573	-0.0656276260171412
K00574	0.234851646340548
K00588	-0.0637990725378463
K00590	-0.0515491447930812
K00595	0.144087500065559
K00600	-0.211084372262487
K00602	-0.350835804870656
K00603	-0.453232194844705
K00604	-0.0669968721969278
K00605	0.438638462780657
K00606	0.0486267400844248
K00609	-0.899109429771339
K00610	0.135432198877981
K00611	-0.0406780888155656
K00615	-1.86412815758616
K00616	-0.0798025572732779
K00620	0.0349340731807618
K00625	-0.133993744393856
K00626	-0.14408750006556
K00627	0.0329609163077008
K00630	-0.0598816852153583
K00631	-0.0273892830425175
K00634	0.0904834735074373
K00639	0.425947845194957
K00640	-0.159101963126255
K00641	0.561990694828035
K00645	-0.281814692981598
K00647	0
K00648	-0.0482286106089799
K00651	-0.0111687952532303
K00652	-0.703591626485842
K00655	-0.0909090909090909
K00657	-0.00159459830083041
K00658	0.264245116378236
K00661	-0.0205942040857475
K00662	-0.0668123901596787
K00663	0
K00666	0.0162501552465312
K00674	0
K00677	-0.361912735920357
K00680	0
K00681	-0.019512718841618
K00684	0.148998433876923
K00687	0
K00688	-0.224146278158254
K00689	0.82396935776941
K00690	0
K00691	-0.0642881838581033
K00692	0.187755364061797
K00694	0.0353955323286541
K00700	-0.198945659775353
K00703	-0.178123455954787
K00705	-0.0909090909090909
K00720	-0.251240771832262
K00721	-0.838436596853255
K00743	-0.0690623336969358
K00748	0
K00756	-0.111126583757859
K00757	-1.18009562477603
K00758	0.020272353525353
K00759	-0.227500030957198
K00760	-0.0669968721969278
K00761	-0.0669968721969278
K00762	-0.153459635789569
K00763	-0.133993744393856
K00764	-0.421211411116596
K00765	0
K00766	0
K00767	0.124039201344852
K00768	-0.765896049258255
K00769	-0.0207139132192176
K00772	-0.0664792729977829
K00773	-0.583034458027872
K00782	0.542123413387959
K00783	-0.109871511073765
K00784	-0.0909090909090909
K00785	-0.114891608250981
K00786	0.465587557015693
K00788	-0.00971956399241026
K00789	0
K00790	-0.236445822235471
K00791	-0.133993744393856
K00793	0
K00794	-0.14408750006556
K00795	0.000792474281918875
K00796	-0.0754613635052443
K00797	-0.14408750006556
K00798	-0.23740315564385
K00800	0
K00803	0.111126583757859
K00805	0.202764392059128
K00806	-0.381895766333426
K00809	-1.38190080138599
K00812	-1.46182141228329
K00813	0.340062817645991
K00817	0.314534487735837
