	mean_md	spatial_dist_weighted_mean_md	mean_md_H_T51	mean_md_H_T52	mean_md_H_T53	mean_md_H_T54	mean_md_H_T55	mean_md_H_T61	mean_md_H_T62	mean_md_H_T63	mean_md_H_T64	mean_md_H_T65	mean_md_H_T71	mean_md_H_T72	mean_md_H_T73	mean_md_H_T74	mean_md_H_T75	mean_md_H_T81	mean_md_H_T82	mean_md_H_T83	mean_md_H_T84	mean_md_H_T85
139428.14341.S108	1.1302268117978	0.829150760752918	1.98775410554269	1.97992912349909	1.99660217675328	2.02641164286246	2.13621755682772	2.20298619604899	2.01900651765527	2.01740134170725	2.11588160342275	1.97998842615843	2.0588591336185	2.10440698123328	2.14032056928904	2.24757381760187	2.20389007181255	2.26992451455872	2.26468611914041	2.15416946460136	2.26202012308518	2.06074053474149
139428.14341.S109	0.972878853600137	0.696369454304787	2.40398244051521	2.1635486898186	2.24065901380312	2.2686929682688	2.21186878838209	2.70290576590345	2.43135565371159	2.31678556836396	2.33569648924626	2.11427796683203	2.59814150353252	2.55898053543346	2.61315568538081	2.66997832855114	2.49836225350281	2.78411809440781	2.57198772585154	2.55646333203564	2.608868394194	2.32936806193934
139428.14341.S11	1.19627532083191	0.765956584065002	1.62905006784844	1.636598065856	1.66413105396422	1.69273131863162	1.76686559907982	1.86493386949522	1.68075899727762	1.67924865274636	1.76160560069642	1.59472604794915	1.77162136137087	1.79246591873189	1.84119064864616	1.94121641951653	1.85828292704741	1.92542535558556	1.9605457124693	1.8691827301374	1.93375884103295	1.70800694696293
139428.14341.S110	1.3680302119778	1.04564335491064	1.66795227567197	1.86919659121733	1.83131449754857	1.89349781933082	2.08593221794758	1.77567607821786	1.69665857875652	1.86588757704383	1.98327397402688	1.93345450921309	1.68244858154258	1.76592522360521	1.81002197051024	1.88685111305235	1.96069888510064	1.86986089669147	1.98023521979918	1.93148379174105	1.96576522834382	1.82349766676832
139428.14341.S111	0.731383602481535	0.591425096067087	2.54064642845467	2.25096334630314	2.3553574071287	2.40039223744683	2.2023731894484	2.85354746409996	2.56239334901266	2.45521442691856	2.4142741978292	2.15497570270447	2.78369641353788	2.73533536105831	2.77847911840994	2.82733051649385	2.60171849503901	2.94756391114837	2.66321740285683	2.67428372673431	2.70375441812277	2.41041306560427
139428.14341.S112	1.50194674400266	1.2556690127759	1.34206438471571	1.62279572879308	1.59028670039415	1.64552359019746	1.83275516785639	1.40903008465648	1.34091675281305	1.61181617511309	1.72433678953894	1.71066187544636	1.35766060335084	1.47301199108318	1.53263615570832	1.54934194584459	1.65208690276503	1.5361784963842	1.64444341992655	1.67143873522666	1.63905482820456	1.50459083150515
139428.14341.S113	0.667869910750797	0.642830208121004	2.40561513819195	2.11530804755504	2.23612990620896	2.27773738312517	2.05361179745759	2.72134803586937	2.42820111085574	2.32980229500681	2.27226209592587	2.00458891739208	2.66383895077472	2.61899772173078	2.65731163545377	2.70765466429966	2.46599236867691	2.81938887990226	2.53545257387498	2.56677942834735	2.57156694985213	2.28376805776404
139428.14341.S114	1.04999254675455	1.03609624480109	1.65766241076812	1.61547143383217	1.6665529322861	1.692005924187	1.7230345698604	1.92022580854034	1.71256300962088	1.67787827099842	1.75231531755071	1.55256706289744	1.82825290622439	1.84480037953507	1.89324895418812	1.98910654243198	1.86796891800849	1.97802981408252	1.98116501744283	1.90880103121096	1.95316746184016	1.72046754724766
139428.14341.S115	0.753748258312255	0.496989538509139	2.34367710744015	2.06798000975002	2.17673262904241	2.21754440729688	2.06167872576098	2.6566338745862	2.3709282246019	2.26416734858856	2.23576089613657	1.98856948140903	2.57952538967968	2.54109449007629	2.58496362196505	2.63786916569726	2.4082447764578	2.74730261894873	2.50120518527531	2.50900332677613	2.53341675343811	2.24592542654904
139428.14341.S116	1.28726495896358	0.903219567915177	1.51966448818788	1.70431182850776	1.67593270388801	1.74215085133318	1.90442807729878	1.6512399924583	1.55339184670943	1.71797594375427	1.82014348931675	1.74762974423266	1.57461082211078	1.64257992804593	1.68902984895916	1.75187371807821	1.80891022119979	1.7508819005989	1.85316247952181	1.80371747814335	1.83452901520986	1.6635650393916
