	mean_md	spatial_dist_weighted_mean_md	mean_md_H_T51	mean_md_H_T52	mean_md_H_T53	mean_md_H_T54	mean_md_H_T55	mean_md_H_T61	mean_md_H_T62	mean_md_H_T63	mean_md_H_T64	mean_md_H_T65	mean_md_H_T71	mean_md_H_T72	mean_md_H_T73	mean_md_H_T74	mean_md_H_T75	mean_md_H_T81	mean_md_H_T82	mean_md_H_T83	mean_md_H_T84	mean_md_H_T85
V1_10_21_T1	1.09877940069314	0.742810495694855	1.14805830537112	1.16889061517242	1.12517429772751	1.32431340276221	1.26799778000258	1.22583236324796	1.28724917833842	1.24671666906745	1.19811325773556	1.29041237834998	1.68410263537551	1.51721849129791	1.62941348321555	1.72035773932826	1.40456320862573	1.70045718705174	1.59708610850579	1.55612022587436	1.6535777366825	1.46908501741192
V1_10_21_T2	1.1192033341784	0.813164743826282	1.27144770199603	1.35453075531772	2.13152618696255	1.73582307706264	1.64232325088301	1.97933623511162	1.62270764316868	1.92361919865822	1.96275141840919	2.11021289261817	1.80362859034962	1.79601398857358	1.93810058862627	1.79425386043456	1.6975426139035	1.53939347346253	1.96585981083198	2.0468992153194	1.90628528039118	1.80043544469156
V1_10_22_T1	0.949548681889766	0.681029172485396	1.29911231267608	1.27824550629265	0.991977000171412	1.37856944299814	1.32967910463298	1.19887001961584	1.41794339318402	1.23304697060615	1.13291880928096	1.17930364371283	1.86885765387922	1.6182792022856	1.72702866126539	1.85907248246594	1.53343679066304	1.93468437990975	1.68093670223883	1.58941787804401	1.74256105283333	1.55049433008541
V1_10_22_T2	0.974990807153747	0.810726106438652	1.68188366086969	1.84152609765654	2.38564254088496	1.96180995263501	2.06000193217819	2.17611546422242	1.81772598196916	2.08825410272497	2.14490162460322	2.55269808719573	1.65174465453699	1.67459407261001	1.81660140150288	1.73533388282987	1.59053431805596	1.22374884974382	1.92967183558511	2.02381791782319	1.89013568655327	1.7725716213764
V1_10_23_T1	1.08528018693645	0.723817900070631	1.86783003280753	1.70364129488764	1.35348185815467	1.80678670258657	1.66162701084645	1.81944581941071	2.03004723354817	1.80388361678144	1.69611044906696	1.35769178023893	2.55058317855182	2.27880854417296	2.39777039302698	2.45965453017178	2.11464836026603	2.61761502462044	2.23553171711097	2.11736839695529	2.34525384301551	2.13871310757526
V1_10_23_T2	0.924281240148843	0.830532867966066	1.56342608564716	1.72648196862451	2.21963238343711	1.8311715928756	1.94292232413076	2.02107061072298	1.67742003668099	1.93567816874036	1.9804687177058	2.41508378491736	1.52368064311018	1.53008835658714	1.69142116458248	1.61837248907673	1.43777101537052	1.1177450658875	1.78834732343452	1.89111498789107	1.7621255921809	1.64803157792707
V1_10_24_T1	1.84193902681032	1.54711761478356	1.57300593937928	1.58563954183966	2.20147996971318	1.90194020171308	1.58575997303818	2.23035020325218	1.93491225512746	2.20638834834507	2.21136012030853	1.90324189937134	2.30994079224296	2.27858967395564	2.41535450891415	2.32544139739452	2.14129272133051	2.15439857954826	2.29153175519462	2.30936907279892	2.34156304732935	2.18398928776195
V1_10_24_T2	0.886483107654508	0.89955625245651	1.44066711060267	1.59851562800663	2.12991469736827	1.76159683195497	1.83410635082635	1.95602073494895	1.60017517800396	1.87177097119681	1.90370135041552	2.30544901584368	1.53739740335098	1.51044678319048	1.67616951220039	1.58111464989911	1.41840772555282	1.14153552677149	1.74478588862268	1.86652172792073	1.72716351416703	1.63276656754393
V1_10_25_T1	1.13365097461402	1.07558088686074	1.90719276255475	1.74255284584827	1.13338772377417	1.74559964272479	1.7608755661718	1.57079600477464	1.91592990859276	1.51773107472123	1.4041575999694	1.34806401084717	2.3930196034094	2.07055957051019	2.15587389017081	2.32694035197587	1.985817485448	2.53964476231173	2.11811312424244	1.92950882656829	2.16995207203095	1.96776672331906
V1_10_25_T2	1.05269375159179	1.1133828719933	1.15385792961525	1.26019000507039	1.95148922280891	1.59490832977926	1.54365497980664	1.82102951802639	1.48611846058308	1.74235340549118	1.76786567441631	1.98521909301979	1.65345375010076	1.6219474415209	1.77067036103429	1.65982776966556	1.53298638471752	1.4070994910335	1.81191178504875	1.88961256084306	1.77147518715811	1.64775836041574
