samples	PC1	PC2	PC3
139428.14341.S149	-0.0132459895696476	-0.00843417362455393	0.0297764813251076
139428.14341.S15	-0.0359832750655635	0.0188288691956232	0.0277425466512992
139428.14341.S150	-0.031148151513052	-0.0468082056129227	-0.0344690361103354
139428.14341.S151	0.0160060268552668	0.00666251550061981	0.0216386113794725
139428.14341.S152	-0.0425322361307981	-0.0195647603341941	-0.0117330005403145
139428.14341.S153	0.0586088296464502	0.00184729269946849	0.0553329171548628
139428.14341.S154	-0.0360559849293203	-0.0435682003578699	-0.0560491477074971
139428.14341.S155	0.0269271117068863	-0.0140044882231176	0.016013874864873
139428.14341.S156	-0.014038524857801	-0.0426815745784935	-0.0300554210903903
139428.14341.S157	0.0394838197412594	0.00491273286011516	0.0205392626354551
139428.14341.S158	-0.0197349981156037	-0.00492663865433406	-0.0358831248027876
139428.14341.S159	0.0214252265365974	-0.0167616477058939	0.00282441693469701
139428.14341.S16	-0.0146987073694748	0.00807570208632926	-0.0156929207463862
139428.14341.S160	-0.000597105831039101	0.00634155383669235	-0.00303078973715955
139428.14341.S161	0.000614487689334033	-0.025493936274439	0.0222747147751374
139428.14341.S162	0.00471760730774047	-0.0290094912044757	-0.0216314395449505
139428.14341.S163	0.0318424089650193	-0.0274968812723144	0.00498514668549676
139428.14341.S164	0.000887293851062145	-0.0195302833499815	-0.0229433392660865
139428.14341.S165	0.0168251415845648	-0.0154227856867607	0.0131671515669855
139428.14341.S166	-0.011488266999798	-0.0116904062222892	-0.0678302482221152
139428.14341.S169	0.0265613391116504	-0.0262185172832135	0.0208920611092643
139428.14341.S17	-0.0182872252305801	-0.00316199844904671	0.0110185654104273
139428.14341.S170	0.019550817817084	-0.00882670853354022	-0.00368790404056148
139428.14341.S171	-0.0335869437251133	-0.028592981244564	0.0384718181933831
139428.14341.S172	-0.0342314870617916	-0.0290653057287607	-0.0126908516929728
139428.14341.S173	-0.0401052305084221	-0.0297562803050559	0.00852931022889148
139428.14341.S174	-0.0111480462170754	-0.0383232618321052	-0.0551911535711538
139428.14341.S175	-0.0370601234073109	-0.0402398071028863	-0.00695856257551728
139428.14341.S176	-0.0384416918188459	-0.0233051264016525	-0.0175519987486068
139428.14341.S177	-0.0244528907923111	-0.0337229679795623	0.0169591776767253
139428.14341.S178	-0.0342726416806289	0.0347804734946592	0.00189145654973196
139428.14341.S179	0.0557520060313615	-0.0313864067520299	0.044332094702092
139428.14341.S18	-0.0274185475794821	0.0372658519175826	-0.0247930541049362
139428.14341.S180	0.073033950685714	-0.0162383309265267	0.0207508198171579
139428.14341.S181	0.00436347900269767	-0.0228970763278517	-0.0566801178505456
139428.14341.S182	0.0478189970942727	-0.0160037907484011	0.0314291795293548
139428.14341.S183	-0.0187421122292511	-0.0394731294940891	-0.00885151978711397
139428.14341.S184	-0.0116032482812128	-0.00157104188518792	0.0107306726305704
139428.14341.S185	-0.0402825836297491	-0.0399477675017391	0.00354049485566652
