	mean_md	spatial_dist_weighted_mean_md	mean_md_H_T54	mean_md_H_T55	mean_md_H_T64	mean_md_H_T65	mean_md_H_T74	mean_md_H_T75	mean_md_H_T84	mean_md_H_T85	mean_md_H_T5161
C88.I.T1	1.59290698258891	1.68585948998678	2.25876717852418	2.37323330087827	2.32820121810849	2.43074329529727	1.84803036801759	1.80107042209965	1.86316642556915	1.83881089735366	1.60860349952964
C88.I.T2	1.67694495693274	1.73284249420906	1.80918472734684	1.64188945824602	1.99226828869005	1.82014059646366	1.19617145463593	1.32823944207143	1.12073551324558	1.31375166245119	1.56844495409521
C88.I.T4	1.73805244628061	1.68337520846747	1.81364104696855	1.69892594237591	1.94991350352742	1.89239595670917	1.09521599338453	1.18965356966027	1.08133466698557	1.20719390937197	1.27180020232454
C88.I.T5	3.01232787389248	2.88904169004647	3.41672209212922	3.59172543516754	3.49485191015374	3.60211776526835	2.96308332676365	2.93380663101542	3.04243117784388	2.95536535373662	2.4429458696054
C9.14.T4	0.673602127504071	0.555261519080081	1.88425530225911	1.68957740883913	2.06768402594976	1.87116877992234	1.5604667491981	1.64428902701434	1.43994079809188	1.61561795522506	1.99385023648344
C9.15.T4	0.695684093094407	0.592933040525719	2.16264403648273	1.97185371116965	2.35990808510892	2.16740820888784	1.62613078201254	1.78081499350659	1.55027777345041	1.74351655045674	2.07819792768272
C9.24.T4	0.58239813492172	0.529905303790394	1.94093784273331	1.7608653074088	2.13413422145431	1.94574577516942	1.4290683869232	1.55541551382938	1.33688257067686	1.52585794468856	1.85168959926721
C9.25.T4	0.862750161037548	0.786932815351248	1.57690912642726	1.35530294335531	1.70568996567336	1.51766550551853	1.48634619938147	1.49333922559976	1.34631231499163	1.49306958517635	1.90442923533652
C9.34.T4	0.885201542619152	0.845600031632755	2.39718491486459	2.23591909980257	2.60593528135998	2.43106083024182	1.54577806707528	1.81851305120249	1.55283679849534	1.78293683096402	1.98755464036877
C9.35.T4	0.604895785875147	0.604614885736993	1.90147876769055	1.7312077689698	2.09192048972947	1.91325621898371	1.26564074703636	1.41372312448548	1.19432559164961	1.39355757394918	1.6601159826072
C9.44.T4	0.623105448181014	0.454488834750568	1.86586720972647	1.69736736773659	2.05354779850268	1.87790953157469	1.23307945850042	1.37642603758314	1.15993107184725	1.35870262701646	1.61819366179954
C9.45.T4	1.41650546164588	1.35143812875345	1.61550054604002	1.36677952678389	1.65254334699786	1.51309221249366	1.92359902106809	1.85452029436873	1.76845897523668	1.88007069109161	2.37073884537635
C9.I.T4	1.09096274220633	1.05214503717924	2.2128172876406	2.09688073250074	2.409893220131	2.28528749412935	1.2668782489868	1.52814926651251	1.28300839589963	1.50657144107625	1.56769564622004
C91.14.T3	1.56110660908082	1.42585501400631	1.68172691444002	1.75768244099741	1.67177106011094	1.77246252333757	1.72456731864294	1.57718849054304	1.69526744098348	1.61965081279044	1.67721877496367
C91.14.T4	1.67956172641729	1.46676225272415	1.38482568069512	1.36324404898662	1.16119221901149	1.25470595898338	2.22002900646703	1.95257811568708	2.14538743933079	2.02238235495014	2.41132891820479
C91.14.T5	1.50883440676209	1.44682528140839	2.25281052931269	2.30405951254767	2.37674646149918	2.43884194851768	1.56835322935909	1.59114626768834	1.60621211101312	1.659040837457	1.41036208409216
C91.145.T1	2.47425932801289	2.02898359898234	1.29410604338698	1.20094144494488	1.11793091624659	1.1743552784502	2.24575187827445	1.98768334914064	2.1270090399381	2.07027794256765	2.53447384403525
C91.145.T2	1.33778623938276	1.33328807334644	1.74228104769253	1.78074563790921	1.4751648070708	1.58793064192965	2.65420380169383	2.38819596016985	2.60635929640602	2.43822946376843	2.78500304385073
C91.15.T3	1.68078402576067	1.60460547552081	1.47813464032624	1.52716490570211	1.35982931062159	1.47038110598931	1.93011484109708	1.71239402803836	1.88860983866111	1.76313992763871	2.00707777381697
C91.15.T4	1.75903125120754	1.62299145703307	1.23549114648673	1.12791795410528	1.08267331179307	1.12281746731469	2.10564005755504	1.85045170777769	1.98616383340749	1.93786681587522	2.39503465910918
C91.15.T5	2.09532292396229	2.08184224465253	2.92148779969428	3.03409836522585	3.04175696679593	3.12459156586646	2.22157139806206	2.26049558862586	2.29577188314039	2.29696903274589	1.87992237351205
C91.24.T3	2.048944488352	1.76300700501615	1.37812497534145	1.35734589056735	1.16378990333197	1.25567598513112	2.18141223721313	1.91663433078179	2.10927979730999	1.98525148663249	2.36765405190027
C91.24.T4	1.99168312686774	1.63140775402684	1.25190880778813	1.03772387461242	1.18328643458223	1.12607896797831	1.92426991725846	1.72109771949898	1.78513510612261	1.81120294040459	2.28334350230692
C91.24.T5	1.4285292214207	1.23867470329237	1.94676075667786	2.00874980715801	2.01814786411835	2.09830332164476	1.5334267068352	1.48893503847724	1.54410752390259	1.55622048722113	1.42655289724794
C91.245.T2	1.06774391004924	1.09496115288111	1.9544201582512	2.09104121591301	1.84751076325266	1.97649117600493	2.41003628070297	2.18971254683478	2.38801384716209	2.20961135101143	2.3163661893211
C91.25.T3	2.3538779994333	2.24587859439786	1.32895875560558	1.27290986160658	1.10900478973275	1.19644473960789	2.26659807714551	1.99838432780252	2.16518378118678	2.07566053727358	2.50953288166595
C91.25.T4	1.87586520830623	1.61823599639915	1.30805882844084	1.20878705164733	1.13532352320624	1.18551000390572	2.26640985255738	2.01062276107249	2.1454067316093	2.09293093055596	2.56221907269905
C91.25.T5	2.08384684293516	2.08889409315203	1.1984635505768	1.0527577030826	1.07571305566826	1.08267824227245	1.93971448175536	1.69856929804054	1.81559938624774	1.79324381824099	2.24591103076808
C91.345.T2	1.58668345725633	1.7684925596716	2.54593484538054	2.72857714145895	2.57623719841156	2.68927005637141	2.4652114722761	2.33622368723828	2.47569487938138	2.35161309253945	2.10914049857716
C91.35.T3	1.44345523279507	1.12228601818354	3.04718139476674	3.24765285444198	3.07371004056337	3.19213013600321	2.94382725775222	2.81305783699468	2.98212242035764	2.83885239517186	2.47561507311059
C91.35.T4	2.20602592245377	1.99424637186738	2.9083667427685	3.07716471057721	2.97621387798828	3.08499891629731	2.53468183400496	2.47949450002875	2.58664074506806	2.49276451821764	2.09366802129378
C91.35.T5	1.52850184536969	1.48555718112002	1.56836150645065	1.4097580583779	1.69151173976901	1.58702230115863	1.05709692368432	1.11227351604523	1.00799714053664	1.12791238802716	1.33156229400978
C91.44.T3	1.34863421129018	1.28500564250096	2.76737282401828	2.9606018895074	2.79661336942386	2.91066584015702	2.67925064185897	2.5477372049538	2.7031239978943	2.56597425291642	2.26811163053498
C91.44.T4	2.22733726256816	1.98778108053644	1.77703056759746	1.67041303853897	1.90383933721412	1.86094633084902	1.09948776518207	1.1692207725417	1.09076277636396	1.19948433637398	1.2568410508012
