	mean_md	spatial_dist_weighted_mean_md	mean_md_H_T64	mean_md_H_T65	mean_md_H_T54	mean_md_H_T55	mean_md_H_T74	mean_md_H_T75	mean_md_H_T84	mean_md_H_T85	mean_md_H_T5161
142262.14341.SAMPLE1488	1.13025562272126	1.01990908858922	1.87787286902815	1.74786941289032	1.94973182056161	1.69620936311947	2.25813202906519	2.19368642080349	2.20637400167852	2.11655972426217	2.37330765095824
142262.14341.SAMPLE1489	1.6569922186973	1.50413220878299	1.4432534883701	1.5134639278277	1.56694973581532	1.58519497656782	2.2829820739591	2.04588721927764	2.15947099096405	2.0853243462888	2.36404084576027
142262.14341.SAMPLE1490	1.27224741968712	1.01602957583743	1.71096157058965	1.63140430996852	1.61083190879834	1.48250746185499	1.11328455481427	1.20911743481837	1.14980512736627	1.16799593668902	1.14941607262825
142262.14341.SAMPLE1491	0.714935308009559	0.758691335670151	1.20589574180678	1.24427266535268	1.26987788966031	1.19884891025632	1.80110457275863	1.60136520569249	1.70546169135079	1.6393322613576	1.90873314934559
142262.14341.SAMPLE1492	1.33265475850304	1.2243242712443	1.46434793748263	1.41808886003571	1.37895559090893	1.25977311503564	1.09347013673762	1.08901227643895	1.04102739545151	1.06122824860453	1.11676362733899
142262.14341.SAMPLE1493	0.888639739770632	0.67313453842885	1.42254558216645	1.36111908476857	1.37032387516775	1.1870227055865	1.19187515425977	1.18035422090386	1.12379696291023	1.13421824999907	1.25689603183683
142262.14341.SAMPLE1494	0.856138939072636	0.869414582974553	1.43245241300899	1.35157123000133	1.40111833484	1.18288734872668	1.30773601954791	1.30327477203427	1.24238814360872	1.2448928101115	1.41266687118951
142262.14341.SAMPLE1495	1.22414694962592	1.15178755349775	1.34905177879545	1.32353958880667	1.27626953858746	1.16835937849714	1.12799102418284	1.07645379555603	1.03412205475651	1.06028555416818	1.16529272295813
142262.14341.SAMPLE1496	1.19408291205725	1.20441255984912	1.55017747672717	1.46341214546731	1.48762540942556	1.29453120055913	1.20684199409323	1.24345242662138	1.18080681857577	1.17525080597665	1.27074883579136
142262.14341.SAMPLE1497	1.14179864532941	1.31230761994242	1.81719950388039	1.66398796731004	1.81570804345184	1.53170226286964	1.74164972628103	1.78974983431343	1.71590324525339	1.67360548080008	1.86886871134333
