samples	PC1	PC2	PC3
A154.45.T5	0.0312511605148634	-0.00249344889248634	-0.0192738250913084
A154.I.T3	0.00379506349530204	-0.0404999639030556	0.0109152171444719
A154.I.T5	0.00706878626139124	-0.0604668995553685	0.0334892991540642
A18.345.T1	0.0235430282213523	-0.0188977387732543	-0.00101991280657372
A18.35.T5	-0.0293939065386545	-0.00148994975446961	-0.0169960302889739
A2.345.T1	-0.0212628680784807	-0.0153709810035679	0.0141019622552471
A2.35.T4	0.00281989511892862	-0.0104151491981106	0.038730922006924
A20.14.T2	0.0478117752844443	0.00458024322663372	0.0242076592204648
A20.14.T3	-0.00771955611148005	0.0204865052830095	-0.025150829039878
A20.15.T2	0.0434888938329524	-0.000259490032369355	0.0194267758196019
A20.15.T3	-0.0151030663386015	0.0210446269461948	-0.0116436577378565
A20.24.T2	0.0476217095674928	0.016054534371989	0.0244759724867411
A20.24.T3	0.041409721063812	0.0160693361739982	0.00948961449509763
A20.25.T2	0.0451018928990971	0.0221528721599734	0.0397093695827243
A20.25.T3	0.0413904380826154	0.00976238747305708	0.00746565636231748
A20.34.T2	0.0056519730701071	0.0180671915535534	-0.0196397606547769
A20.34.T3	-0.0228071051589633	0.0063523551469931	-0.0247839129793469
A20.35.T2	0.0149605108500205	0.0132952158569641	-0.0220986162576649
A20.35.T3	-0.014573607914773	0.0209895381590566	-0.00464367790390048
A20.44.T2	0.0244411404714378	-0.0386856492466011	-0.00588950425946408
A20.44.T3	-0.012459619249939	0.00874812572571455	-0.0335908516023022
A20.45.T2	0.0174153048984544	-0.0417159666895028	0.00924650932499737
A20.45.T3	-0.00291721659849051	0.00596332772459392	-0.0412070346973421
A20.I.T2	0.0104832471877793	-0.0180865075389473	-0.0319832844776616
A20.I.T3	-0.00270861678832826	0.00383558459263639	-0.0245667622255644
A24.14.T2	0.0284989755314781	-0.038936573447924	-0.0286382084563785
A24.14.T5	0.0168244139820483	-0.0168663398194474	-0.0135203114640905
A24.15.T2	0.0387051125915139	0.0023156871907491	-0.00576287136693227
A24.15.T5	0.00638828636265064	0.0049055353256924	-0.0148333577995251
A24.24.T2	0.0447653644343733	-0.00604674035822546	-0.0313924896378833
A24.24.T5	0.0339299973805313	0.0146009917376181	0.00831516279871136
A24.25.T2	0.0413519244129575	0.000578316692987346	-0.00993183957272653
A24.25.T5	0.0345632329230037	0.00313698537252894	-0.0434747157013576
A24.34.T2	-0.00460599111811012	0.0113888039679637	-0.0181047535649954
A24.34.T5	-0.0324753855583056	0.00394415254268451	-0.0114450829543023
A24.35.T2	0.0144846675184053	0.00318265515075042	-0.066292504842994
A24.35.T5	-0.0302177653838471	0.00175359510022484	-0.0161154423172883
A24.44.T2	-1.19124843562466e-05	-0.0203133554292135	-0.0103981038805469
A24.44.T5	-0.0370144516211555	0.00527448930826406	0.0143041643682526
A24.45.T2	0.0239560992190718	-0.0127706493696432	-0.0250397726069965
A24.45.T5	-0.0327593504330804	0.00436332209815794	0.0173754617069081
A24.I.T2	-0.0240370102178176	-0.0123125630956199	0.0198671913312612
A24.I.T5	0.0001198110303301	-0.040287027801459	-0.0101536991426432
A27.15.T3	-0.0131465864315434	-0.0122064389861663	0.0242825458512061
A27.345.T1	-0.00260142876894949	-0.0136375372018186	-0.00511869269499856
A27.45.T4	0.0198651274177026	0.0120515977832645	0.00682422878256289
A301.14.T5	0.026389761376858	0.0182422554783842	0.0117755585927533
A301.15.T5	0.0215330670736885	0.0205756977459754	0.00864859330096247
A301.24.T5	0.0133595741931047	0.018490455821791	-0.00863512081919905
A301.25.T5	0.0236436397237934	0.0109899507613648	-0.00159825657066019
A301.34.T4	0.0391495759847575	0.0107251885711117	0.0126078051608154
A301.34.T5	0.0266083112562131	0.00518771616284382	-0.0103346351809693
